Nr:	 N:	 X:	 E:
4.68002e-06	1.00889	0.503829	5.93895
4.69002e-06	1.00889	0.503824	5.9434
4.70002e-06	1.00889	0.503818	5.94782
4.71002e-06	1.00888	0.503813	5.95225
4.72002e-06	1.00888	0.503808	5.95665
4.73002e-06	1.00887	0.503803	5.96109
4.74002e-06	1.00887	0.503797	5.96552
4.75002e-06	1.00886	0.503792	5.96997
4.76002e-06	1.00886	0.503787	5.97443
4.77002e-06	1.00885	0.503781	5.97893
4.78002e-06	1.00885	0.503776	5.98344
4.79002e-06	1.00884	0.503771	5.98793
4.80002e-06	1.00884	0.503766	5.99243
4.81002e-06	1.00883	0.50376	5.99693
4.82002e-06	1.00883	0.503755	6.00146
4.83002e-06	1.00882	0.50375	6.00597
4.84002e-06	1.00882	0.503744	6.0105
4.85002e-06	1.00881	0.503739	6.01505
4.86003e-06	1.00881	0.503733	6.01959
4.87002e-06	1.00881	0.503728	6.02415
4.88003e-06	1.0088	0.503722	6.02868
4.89003e-06	1.0088	0.503717	6.03326
4.90003e-06	1.00879	0.503711	6.03784
4.91003e-06	1.00879	0.503706	6.04245
4.92003e-06	1.00878	0.5037	6.04709
4.93003e-06	1.00878	0.503695	6.05173
4.94003e-06	1.00877	0.503689	6.05641
4.95003e-06	1.00877	0.503684	6.06106
4.96003e-06	1.00876	0.503678	6.06572
4.97003e-06	1.00876	0.503673	6.07039
4.98003e-06	1.00875	0.503667	6.07507
4.99003e-06	1.00875	0.503662	6.07979
5.00003e-06	1.00874	0.503656	6.08449
5.01003e-06	1.00874	0.503651	6.08917
5.02003e-06	1.00873	0.503645	6.09389
5.03003e-06	1.00873	0.503639	6.09861
5.04003e-06	1.00872	0.503634	6.10334
5.05003e-06	1.00872	0.503628	6.10806
5.06003e-06	1.00871	0.503622	6.11278
5.07003e-06	1.00871	0.503617	6.11756
5.08003e-06	1.0087	0.503611	6.12236
5.09003e-06	1.0087	0.503606	6.12715
5.10003e-06	1.00869	0.5036	6.13196
5.11003e-06	1.00869	0.503594	6.13676
5.12003e-06	1.00868	0.503588	6.14155
5.13003e-06	1.00868	0.503583	6.14638
5.14003e-06	1.00867	0.503577	6.15119
5.15003e-06	1.00867	0.503571	6.15599
5.16003e-06	1.00866	0.503565	6.16082
5.17003e-06	1.00866	0.50356	6.16564
5.18003e-06	1.00865	0.503554	6.17048
5.19003e-06	1.00865	0.503548	6.17535
5.20003e-06	1.00864	0.503542	6.18019
5.21003e-06	1.00864	0.503536	6.18502
5.22003e-06	1.00863	0.503531	6.18989
5.23003e-06	1.00863	0.503525	6.19476
5.24003e-06	1.00862	0.503519	6.19967
5.25003e-06	1.00862	0.503513	6.20459
5.26003e-06	1.00861	0.503507	6.20951
5.27003e-06	1.0086	0.503501	6.21445
5.28003e-06	1.0086	0.503495	6.21942
5.29003e-06	1.00859	0.503489	6.2244
5.30003e-06	1.00859	0.503483	6.22934
5.31003e-06	1.00858	0.503477	6.23431
5.32003e-06	1.00858	0.503471	6.23927
5.33003e-06	1.00857	0.503465	6.24425
5.34003e-06	1.00857	0.503459	6.24925
5.35003e-06	1.00856	0.503453	6.25427
5.36003e-06	1.00856	0.503447	6.25927
5.37003e-06	1.00855	0.503441	6.26427
5.38003e-06	1.00855	0.503435	6.26932
5.39003e-06	1.00854	0.503429	6.27434
5.40003e-06	1.00854	0.503423	6.27939
5.41003e-06	1.00853	0.503417	6.28444
5.42003e-06	1.00853	0.503411	6.28951
5.43003e-06	1.00852	0.503405	6.29455
5.44003e-06	1.00851	0.503399	6.29966
5.45003e-06	1.00851	0.503393	6.30479
5.46004e-06	1.0085	0.503386	6.30993
5.47003e-06	1.0085	0.50338	6.31505
5.48004e-06	1.00849	0.503374	6.3202
5.49004e-06	1.00849	0.503368	6.32532
5.50004e-06	1.00848	0.503362	6.33044
5.51004e-06	1.00848	0.503355	6.33558
5.52004e-06	1.00847	0.503349	6.34074
5.53004e-06	1.00847	0.503343	6.34588
5.54004e-06	1.00846	0.503337	6.35102
5.55004e-06	1.00846	0.50333	6.35618
5.56004e-06	1.00845	0.503324	6.36135
5.57004e-06	1.00844	0.503318	6.36654
5.58004e-06	1.00844	0.503311	6.37171
5.59004e-06	1.00843	0.503305	6.37693
5.60004e-06	1.00843	0.503299	6.38211
